"subjects"	"S"	"flankers"	"R"	"rt"
"4057"	"1"	"left"	"incongruent"	"left"	0.317168681030148
"3085"	"1"	"right"	"congruent"	"right"	0.520967167197869
"2197"	"1"	"right"	"incongruent"	"right"	0.312719865396783
"1237"	"1"	"right"	"incongruent"	"right"	0.814744189030687
"4753"	"1"	"left"	"congruent"	"left"	0.408929130496472
"1285"	"1"	"right"	"incongruent"	"right"	0.283674771986688
"5101"	"1"	"right"	"congruent"	"right"	0.226770119346955
"1153"	"1"	"left"	"congruent"	"left"	0.519814496948301
"589"	"1"	"right"	"congruent"	"right"	0.358359354407647
"3589"	"1"	"right"	"incongruent"	"right"	0.330053772678308
"5305"	"1"	"left"	"incongruent"	"left"	0.45946931144777
"4489"	"1"	"left"	"incongruent"	"left"	0.815842314116799
"2461"	"1"	"right"	"congruent"	"left"	0.784575073270418
"2713"	"1"	"left"	"incongruent"	"left"	0.738320923655126
"3721"	"1"	"left"	"incongruent"	"left"	0.280573250680307
"1933"	"1"	"right"	"congruent"	"right"	0.631646357295175
"757"	"1"	"right"	"incongruent"	"right"	0.200259280479634
"4441"	"1"	"left"	"incongruent"	"right"	0.277206666161281
"169"	"1"	"left"	"incongruent"	"left"	0.297180952157123
"2569"	"1"	"left"	"incongruent"	"left"	0.633894777767106
"3469"	"1"	"right"	"congruent"	"right"	0.337634198119796
"5509"	"1"	"right"	"incongruent"	"right"	0.414236053782224
"4609"	"1"	"left"	"congruent"	"left"	1.00085191563643
"1693"	"1"	"right"	"congruent"	"right"	0.364700651654415
"3757"	"1"	"right"	"congruent"	"right"	0.271221112486123
"2485"	"1"	"right"	"incongruent"	"right"	0.548064907872087
"325"	"1"	"right"	"incongruent"	"right"	0.593974207939193
"3697"	"1"	"left"	"congruent"	"left"	0.322164720463607
"2521"	"1"	"left"	"incongruent"	"right"	0.38821454895806
"2953"	"1"	"left"	"incongruent"	"left"	0.28261886218396
"3169"	"1"	"left"	"congruent"	"left"	0.563933199225706
"2209"	"1"	"left"	"congruent"	"right"	0.546213480890465
"853"	"1"	"right"	"incongruent"	"right"	0.370829259430343
"385"	"1"	"left"	"congruent"	"right"	0.694774938332564
"1"	"1"	"left"	"congruent"	"left"	0.79064463252609
"3877"	"1"	"right"	"incongruent"	"right"	0.223950017035319
"2989"	"1"	"right"	"congruent"	"left"	0.244691878377782
"4597"	"1"	"right"	"incongruent"	"right"	0.417062930161761
"61"	"1"	"right"	"congruent"	"right"	0.850769581835128
"3157"	"1"	"right"	"incongruent"	"right"	0.359868835447232
"1309"	"1"	"right"	"congruent"	"right"	0.498456420979326
"4273"	"1"	"left"	"congruent"	"left"	0.191966693334057
"1981"	"1"	"right"	"congruent"	"right"	0.302660607035786
"4573"	"1"	"right"	"congruent"	"right"	0.281554863367929
"4825"	"1"	"left"	"incongruent"	"left"	0.529199502232226
"3397"	"1"	"right"	"incongruent"	"left"	0.372245958882985
"829"	"1"	"right"	"congruent"	"right"	0.330061945115187
"685"	"1"	"right"	"congruent"	"right"	0.679902388391041
"1069"	"1"	"right"	"congruent"	"right"	0.219867603436129
"2257"	"1"	"left"	"congruent"	"left"	0.53896678233198
"2689"	"1"	"left"	"congruent"	"left"	0.242624382599935
"2509"	"1"	"right"	"congruent"	"right"	0.98136543703865
"181"	"1"	"right"	"incongruent"	"right"	0.328113341393888
"4981"	"1"	"right"	"incongruent"	"right"	0.349442915525083
"5053"	"1"	"right"	"congruent"	"right"	1.38574517327994
"3949"	"1"	"right"	"congruent"	"right"	0.210269545317747
"661"	"1"	"right"	"incongruent"	"left"	0.41309834941861
"2077"	"1"	"right"	"congruent"	"right"	0.190651754545962
"1033"	"1"	"left"	"incongruent"	"left"	0.782134931396785
"1177"	"1"	"left"	"incongruent"	"left"	0.221808215644797
"2365"	"1"	"right"	"congruent"	"right"	0.82444325580244
"1345"	"1"	"left"	"congruent"	"left"	0.379924782587455
"3745"	"1"	"left"	"congruent"	"left"	0.197824824113824
"4069"	"1"	"right"	"incongruent"	"right"	0.563198343309804
"4189"	"1"	"right"	"congruent"	"right"	0.179376799144534
"4561"	"1"	"left"	"congruent"	"right"	0.672491932224233
"5209"	"1"	"left"	"incongruent"	"right"	0.249238245828922
"2617"	"1"	"left"	"incongruent"	"left"	0.447303925449042
"2377"	"1"	"left"	"incongruent"	"right"	0.437544222126183
"697"	"1"	"left"	"incongruent"	"left"	0.765837445387852
"1021"	"1"	"right"	"congruent"	"right"	0.651144211809535
"961"	"1"	"left"	"congruent"	"left"	0.84844037605348
"2113"	"1"	"left"	"congruent"	"right"	0.239728410189994
"817"	"1"	"left"	"congruent"	"left"	0.343678542910086
"4021"	"1"	"right"	"incongruent"	"right"	0.292746101017095
"3421"	"1"	"right"	"congruent"	"right"	0.511114069594836
"3769"	"1"	"left"	"incongruent"	"left"	0.383902009657379
"2797"	"1"	"right"	"congruent"	"left"	0.228798623610272
"3049"	"1"	"left"	"incongruent"	"right"	0.223352966995832
"601"	"1"	"left"	"incongruent"	"left"	0.330955638259276
"2173"	"1"	"right"	"congruent"	"right"	0.221492538645249
"769"	"1"	"left"	"congruent"	"left"	1.53107779014917
"3205"	"1"	"right"	"incongruent"	"right"	0.278085823607355
"781"	"1"	"right"	"congruent"	"left"	0.619954785259887
"889"	"1"	"left"	"incongruent"	"right"	0.239893563606866
"925"	"1"	"right"	"congruent"	"right"	0.768259678108304
"1357"	"1"	"right"	"congruent"	"right"	1.15014282052838
"3661"	"1"	"right"	"congruent"	"right"	0.337946295650979
"253"	"1"	"right"	"congruent"	"right"	0.418395081789448
"1885"	"1"	"right"	"congruent"	"right"	0.31546315850073
"157"	"1"	"right"	"congruent"	"right"	0.783382707489941
"4729"	"1"	"left"	"incongruent"	"right"	0.276888733508068
"3385"	"1"	"left"	"incongruent"	"left"	0.32682205087922
"3361"	"1"	"left"	"congruent"	"left"	0.425367360918113
"1969"	"1"	"left"	"congruent"	"left"	1.12057970038749
"4333"	"1"	"right"	"congruent"	"right"	0.855336949579404
"85"	"1"	"right"	"incongruent"	"right"	0.26439057077902
"5017"	"1"	"left"	"incongruent"	"left"	0.871397232779554
"4369"	"1"	"left"	"congruent"	"left"	0.490500918959255
"3277"	"1"	"right"	"congruent"	"left"	0.53624666947363
"3313"	"1"	"left"	"congruent"	"left"	0.498870407031333
"1081"	"1"	"left"	"incongruent"	"left"	0.29271263103523
"4309"	"1"	"right"	"incongruent"	"right"	0.320978004940732
"1213"	"1"	"right"	"congruent"	"right"	0.402718002765796
"1105"	"1"	"left"	"congruent"	"left"	0.47565073608504
"4177"	"1"	"left"	"congruent"	"left"	0.27946881328425
"4837"	"1"	"right"	"incongruent"	"right"	0.367355701616055
"1549"	"1"	"right"	"congruent"	"right"	0.226891076046605
"2929"	"1"	"left"	"congruent"	"right"	0.273583852184695
"2737"	"1"	"left"	"congruent"	"right"	0.38778701149317
"1765"	"1"	"right"	"incongruent"	"right"	0.231694401229432
"4417"	"1"	"left"	"congruent"	"left"	0.388775759678386
"5041"	"1"	"left"	"congruent"	"left"	0.941400327061318
"4885"	"1"	"right"	"incongruent"	"right"	0.276919667822822
"5197"	"1"	"right"	"congruent"	"right"	0.28079852369245
"433"	"1"	"left"	"congruent"	"left"	0.760104609935621
"2053"	"1"	"right"	"incongruent"	"right"	0.31278272163255
"4549"	"1"	"right"	"incongruent"	"right"	0.441307273757862
"2101"	"1"	"right"	"incongruent"	"right"	0.304698974716652
"3445"	"1"	"right"	"incongruent"	"left"	0.667632042318574
"265"	"1"	"left"	"incongruent"	"right"	0.298587355132127
"1165"	"1"	"right"	"congruent"	"left"	0.296303642995414
"1909"	"1"	"right"	"incongruent"	"right"	1.03188273566641
"4225"	"1"	"left"	"congruent"	"left"	0.345812309516181
"5317"	"1"	"right"	"incongruent"	"right"	0.333168619387331
"493"	"1"	"right"	"congruent"	"right"	0.287976196450104
"4861"	"1"	"right"	"congruent"	"right"	0.462614211212584
"4969"	"1"	"left"	"incongruent"	"right"	0.43596904265402
"2581"	"1"	"right"	"incongruent"	"left"	1.20677329141926
"3781"	"1"	"right"	"incongruent"	"right"	0.456070477900694
"553"	"1"	"left"	"incongruent"	"left"	1.02195039338633
"3241"	"1"	"left"	"incongruent"	"left"	0.190816106520177
"3841"	"1"	"left"	"congruent"	"right"	0.296704533394711
"1921"	"1"	"left"	"congruent"	"left"	0.923681628084861
"1057"	"1"	"left"	"congruent"	"left"	0.203655800106754
"3097"	"1"	"left"	"incongruent"	"right"	0.902424941950688
"13"	"1"	"right"	"congruent"	"right"	0.221043655006057
"5293"	"1"	"right"	"congruent"	"right"	0.602183077286101
"1945"	"1"	"left"	"incongruent"	"right"	1.34600422912223
"937"	"1"	"left"	"incongruent"	"left"	0.284749562538242
"3073"	"1"	"left"	"congruent"	"left"	0.586310635513035
"4213"	"1"	"right"	"incongruent"	"right"	1.42306616597394
"3925"	"1"	"right"	"incongruent"	"right"	0.332275763848372
"3181"	"1"	"right"	"congruent"	"left"	0.413983289952809
"4933"	"1"	"right"	"incongruent"	"right"	0.366293089571175
"4789"	"1"	"right"	"incongruent"	"left"	0.18239618893258
"4081"	"1"	"left"	"congruent"	"right"	0.268875560841881
"5269"	"1"	"right"	"incongruent"	"right"	0.290111844779013
"2893"	"1"	"right"	"congruent"	"right"	0.236128890912191
"1597"	"1"	"right"	"congruent"	"right"	0.216603302340165
"3253"	"1"	"right"	"incongruent"	"right"	0.417792117124862
"409"	"1"	"left"	"incongruent"	"left"	0.323259560462341
"949"	"1"	"right"	"incongruent"	"left"	0.304513757357487
"49"	"1"	"left"	"congruent"	"left"	0.261203950111128
"3229"	"1"	"right"	"congruent"	"left"	0.561457949268084
"3829"	"1"	"right"	"incongruent"	"left"	0.478405971597286
"457"	"1"	"left"	"incongruent"	"left"	0.307375240729119
"5257"	"1"	"left"	"incongruent"	"left"	0.662063269897892
"2665"	"1"	"left"	"incongruent"	"left"	0.591428083182403
"4909"	"1"	"right"	"congruent"	"right"	0.488813440384682
"3985"	"1"	"left"	"congruent"	"left"	1.11933571203808
"2497"	"1"	"left"	"congruent"	"left"	0.537128503412319
"5485"	"1"	"right"	"congruent"	"left"	0.345994066004763
"421"	"1"	"right"	"incongruent"	"right"	0.456160093356024
"4117"	"1"	"right"	"incongruent"	"right"	0.85244984747342
"709"	"1"	"right"	"incongruent"	"right"	0.4949982328834
"2641"	"1"	"left"	"congruent"	"right"	0.718173055878238
"397"	"1"	"right"	"congruent"	"right"	0.62323652325272
"3997"	"1"	"right"	"congruent"	"right"	0.37258401524953
"3793"	"1"	"left"	"congruent"	"left"	0.386371331725946
"2089"	"1"	"left"	"incongruent"	"right"	0.355133949436803
"1489"	"1"	"left"	"congruent"	"left"	0.425434008336857
"1681"	"1"	"left"	"congruent"	"left"	0.373782695635121
"4141"	"1"	"right"	"congruent"	"right"	0.711934052492589
"1705"	"1"	"left"	"incongruent"	"left"	0.434147952266124
"3013"	"1"	"right"	"incongruent"	"right"	0.341600686238901
"313"	"1"	"left"	"incongruent"	"right"	0.453664187610038
"1777"	"1"	"left"	"congruent"	"left"	0.648154760953988
"2125"	"1"	"right"	"congruent"	"left"	0.375269457849683
"3937"	"1"	"left"	"congruent"	"left"	0.220219791661721
"5497"	"1"	"left"	"incongruent"	"left"	0.224062518274169
"4165"	"1"	"right"	"incongruent"	"left"	0.288152023245478
"4393"	"1"	"left"	"incongruent"	"left"	0.281737155644508
"3865"	"1"	"left"	"incongruent"	"left"	0.383209249944615
"133"	"1"	"right"	"incongruent"	"right"	0.257027412314026
"4849"	"1"	"left"	"congruent"	"right"	0.669597880740461
"1381"	"1"	"right"	"incongruent"	"right"	1.11978961384727
"1225"	"1"	"left"	"incongruent"	"right"	0.289616868665307
"3577"	"1"	"left"	"incongruent"	"left"	0.336546774061357
"3481"	"1"	"left"	"incongruent"	"left"	0.869605463510648
"145"	"1"	"left"	"congruent"	"left"	0.448307213300425
"3973"	"1"	"right"	"incongruent"	"right"	0.28673435889322
"3001"	"1"	"left"	"incongruent"	"left"	0.223608468927278
"1045"	"1"	"right"	"incongruent"	"left"	1.07110653321929
"4285"	"1"	"right"	"congruent"	"right"	0.244132203812117
"3709"	"1"	"right"	"congruent"	"right"	0.681216207445463
"1321"	"1"	"left"	"incongruent"	"right"	0.304423261457483
"841"	"1"	"left"	"incongruent"	"left"	0.79087708841407
"1141"	"1"	"right"	"incongruent"	"right"	0.656782174480507
"2605"	"1"	"right"	"congruent"	"right"	0.251658292579482
"2017"	"1"	"left"	"congruent"	"left"	0.355537379809913
"4657"	"1"	"left"	"congruent"	"left"	0.254990794114315
"2785"	"1"	"left"	"congruent"	"left"	0.75408172968409
"5437"	"1"	"right"	"congruent"	"left"	0.630058669652935
"3553"	"1"	"left"	"congruent"	"left"	1.01043811842193
"349"	"1"	"right"	"congruent"	"right"	0.342877770094373
"2161"	"1"	"left"	"congruent"	"left"	0.404163803217984
"2329"	"1"	"left"	"incongruent"	"left"	0.439278580891303
"5125"	"1"	"right"	"incongruent"	"right"	0.302210126913627
"5221"	"1"	"right"	"incongruent"	"right"	0.581708945382172
"1429"	"1"	"right"	"incongruent"	"right"	0.28621730896178
"2185"	"1"	"left"	"incongruent"	"left"	0.506220701395012
"745"	"1"	"left"	"incongruent"	"left"	0.38093644151424
"613"	"1"	"right"	"incongruent"	"right"	0.241300401843219
"2425"	"1"	"left"	"incongruent"	"left"	0.606916141590075
"3649"	"1"	"left"	"congruent"	"left"	0.367601014954564
"1957"	"1"	"right"	"incongruent"	"right"	0.21694579568531
"577"	"1"	"left"	"congruent"	"left"	0.965974187114186
"1129"	"1"	"left"	"incongruent"	"right"	0.850032073563008
"1117"	"1"	"right"	"congruent"	"right"	0.449081517946708
"2917"	"1"	"right"	"incongruent"	"left"	0.245982818890016
"1393"	"1"	"left"	"congruent"	"left"	0.475391076589035
"4381"	"1"	"right"	"congruent"	"right"	0.405904888628874
"3685"	"1"	"right"	"incongruent"	"right"	0.193770659929933
"3901"	"1"	"right"	"congruent"	"left"	0.272003331890676
"3601"	"1"	"left"	"congruent"	"right"	0.312144029849322
"3505"	"1"	"left"	"congruent"	"left"	0.449594051384508
"4741"	"1"	"right"	"incongruent"	"left"	0.278127864117559
"3733"	"1"	"right"	"incongruent"	"right"	0.39731709414869
"1801"	"1"	"left"	"incongruent"	"left"	0.301682246965984
"217"	"1"	"left"	"incongruent"	"left"	0.788258223145444
"205"	"1"	"right"	"congruent"	"right"	0.213490339274821
"4621"	"1"	"right"	"congruent"	"right"	0.276726186606582
"3325"	"1"	"right"	"congruent"	"right"	0.448839549655656
"3637"	"1"	"right"	"incongruent"	"right"	0.242786480897206
"4633"	"1"	"left"	"incongruent"	"left"	0.212352016813667
"4453"	"1"	"right"	"incongruent"	"right"	1.02314369979007
"1753"	"1"	"left"	"incongruent"	"left"	0.595566096803754
"2965"	"1"	"right"	"incongruent"	"left"	0.25110749052777
"5233"	"1"	"left"	"congruent"	"right"	0.339927792703255
"1477"	"1"	"right"	"incongruent"	"left"	0.250896949684422
"1741"	"1"	"right"	"congruent"	"right"	0.683645464697663
"1585"	"1"	"left"	"congruent"	"left"	0.208935432207781
"4201"	"1"	"left"	"incongruent"	"left"	1.00426851385398
"3529"	"1"	"left"	"incongruent"	"right"	0.693143887391097
"865"	"1"	"left"	"congruent"	"left"	0.847464694899644
"2545"	"1"	"left"	"congruent"	"right"	0.274610773465836
"5449"	"1"	"left"	"incongruent"	"right"	0.788351994998205
"4717"	"1"	"right"	"congruent"	"right"	0.505327193483593
"2389"	"1"	"right"	"incongruent"	"right"	0.447090371391165
"4249"	"1"	"left"	"incongruent"	"right"	0.937631493244144
"1009"	"1"	"left"	"congruent"	"right"	0.488880169993991
"2317"	"1"	"right"	"congruent"	"left"	0.863017185256555
"793"	"1"	"left"	"incongruent"	"right"	0.217392901833381
"1513"	"1"	"left"	"incongruent"	"left"	0.573476084497536
"5185"	"1"	"left"	"congruent"	"right"	0.195210591742745
"1333"	"1"	"right"	"incongruent"	"left"	0.427119623975928
"5149"	"1"	"right"	"congruent"	"right"	0.2620726489026
"2881"	"1"	"left"	"congruent"	"left"	0.442414681215477
"2029"	"1"	"right"	"congruent"	"left"	0.453129455658738
"2941"	"1"	"right"	"congruent"	"left"	0.302408082316262
"1837"	"1"	"right"	"congruent"	"right"	0.532557195117683
"301"	"1"	"right"	"congruent"	"right"	0.569106427464345
"3433"	"1"	"left"	"incongruent"	"right"	0.215175185456069
"121"	"1"	"left"	"incongruent"	"right"	1.15320666230532
"4105"	"1"	"left"	"incongruent"	"left"	0.396824894335995
"3061"	"1"	"right"	"incongruent"	"right"	0.688381767323078
"1993"	"1"	"left"	"incongruent"	"right"	0.97824644356831
"2305"	"1"	"left"	"congruent"	"right"	0.60017510641965
"1645"	"1"	"right"	"congruent"	"right"	0.312110639028623
"2809"	"1"	"left"	"incongruent"	"right"	0.465348964704941
"5461"	"1"	"right"	"incongruent"	"right"	0.822169984288231
"4501"	"1"	"right"	"incongruent"	"right"	0.840689862934469
"1873"	"1"	"left"	"congruent"	"right"	0.346945894093138
"3541"	"1"	"right"	"incongruent"	"right"	0.232427696892484
"649"	"1"	"left"	"incongruent"	"left"	0.408707601061399
"4405"	"1"	"right"	"incongruent"	"right"	0.378540307778835
"1453"	"1"	"right"	"congruent"	"right"	0.319567359481647
"3301"	"1"	"right"	"incongruent"	"left"	0.62624292334614
"5425"	"1"	"left"	"congruent"	"left"	0.323264237310857
"2413"	"1"	"right"	"congruent"	"right"	0.341993730090419
"901"	"1"	"right"	"incongruent"	"right"	0.412152644001385
"5137"	"1"	"left"	"congruent"	"left"	0.895913007315433
"1813"	"1"	"right"	"incongruent"	"right"	0.324491473288201
"5161"	"1"	"left"	"incongruent"	"left"	1.87465282522387
"913"	"1"	"left"	"congruent"	"left"	0.276548034340914
"997"	"1"	"right"	"incongruent"	"right"	0.784423298164275
"4945"	"1"	"left"	"congruent"	"left"	0.238336872918222
"2629"	"1"	"right"	"incongruent"	"right"	0.357907098961757
"4765"	"1"	"right"	"congruent"	"right"	0.748094403760747
"1825"	"1"	"left"	"congruent"	"left"	0.286223490268098
"1249"	"1"	"left"	"congruent"	"left"	0.335181870878254
"3217"	"1"	"left"	"congruent"	"left"	0.659064911881704
"3613"	"1"	"right"	"congruent"	"right"	0.253846518996267
"2449"	"1"	"left"	"congruent"	"left"	1.02073246734621
"5077"	"1"	"right"	"incongruent"	"right"	0.880581164157307
"5389"	"1"	"right"	"congruent"	"right"	0.380239290596124
"5353"	"1"	"left"	"incongruent"	"left"	0.339787517989098
"4693"	"1"	"right"	"incongruent"	"right"	0.420635113272583
"2065"	"1"	"left"	"congruent"	"right"	0.534599473251711
"1657"	"1"	"left"	"incongruent"	"left"	0.907024473849404
"4921"	"1"	"left"	"incongruent"	"left"	0.329487927210158
"5473"	"1"	"left"	"congruent"	"left"	0.713938950193056
"721"	"1"	"left"	"congruent"	"left"	0.618967231582524
"5005"	"1"	"right"	"congruent"	"right"	0.342501132343056
"2905"	"1"	"left"	"incongruent"	"left"	0.884108403873223
"2845"	"1"	"right"	"congruent"	"left"	0.515244020900205
"2701"	"1"	"right"	"congruent"	"right"	0.445323094815378
"4045"	"1"	"right"	"congruent"	"right"	0.218447439413064
"1849"	"1"	"left"	"incongruent"	"left"	0.214013790989191
"4009"	"1"	"left"	"incongruent"	"left"	0.401821673357713
"1297"	"1"	"left"	"congruent"	"left"	0.211966053672583
"1609"	"1"	"left"	"incongruent"	"right"	1.08085243570857
"5173"	"1"	"right"	"incongruent"	"left"	0.368234265065445
"2593"	"1"	"left"	"congruent"	"left"	1.41575215805133
"2473"	"1"	"left"	"incongruent"	"left"	0.279844782511904
"2281"	"1"	"left"	"incongruent"	"left"	1.08401694382747
"4813"	"1"	"right"	"congruent"	"right"	0.223168644885319
"4321"	"1"	"left"	"congruent"	"left"	0.257993531530655
"25"	"1"	"left"	"incongruent"	"right"	0.552919325449311
"2041"	"1"	"left"	"incongruent"	"right"	0.283867537544551
"5329"	"1"	"left"	"congruent"	"left"	0.851536658591708
"1861"	"1"	"right"	"incongruent"	"right"	1.10146519203754
"2437"	"1"	"right"	"incongruent"	"right"	0.275200682032066
"4237"	"1"	"right"	"congruent"	"right"	0.470205457621586
"5029"	"1"	"right"	"incongruent"	"right"	0.3294501335795
"4465"	"1"	"left"	"congruent"	"left"	0.614794375233761
"1669"	"1"	"right"	"incongruent"	"right"	0.335349969472653
"517"	"1"	"right"	"incongruent"	"right"	0.553610794042574
"2677"	"1"	"right"	"incongruent"	"right"	0.772885572572544
"4801"	"1"	"left"	"congruent"	"left"	0.382778436619856
"3025"	"1"	"left"	"congruent"	"left"	0.250408229276243
"241"	"1"	"left"	"congruent"	"left"	0.249074229571402
"565"	"1"	"right"	"incongruent"	"right"	0.325319272822253
"445"	"1"	"right"	"congruent"	"right"	0.448375293256932
"3337"	"1"	"left"	"incongruent"	"right"	0.427338994622653
"3145"	"1"	"left"	"incongruent"	"left"	0.196180472041974
"4957"	"1"	"right"	"congruent"	"right"	0.354210522148437
"361"	"1"	"left"	"incongruent"	"left"	0.746156014666968
"2233"	"1"	"left"	"incongruent"	"left"	1.11378990413
"673"	"1"	"left"	"congruent"	"left"	0.679491866743563
"3625"	"1"	"left"	"incongruent"	"left"	0.231570043467113
"1369"	"1"	"left"	"incongruent"	"left"	0.501950860081799
"1261"	"1"	"right"	"congruent"	"right"	0.295933390041346
"1717"	"1"	"right"	"incongruent"	"right"	0.429273155927008
"4261"	"1"	"right"	"incongruent"	"right"	0.292344803163231
"3109"	"1"	"right"	"incongruent"	"right"	0.512439089731459
"4525"	"1"	"right"	"congruent"	"right"	0.294929887778572
"4993"	"1"	"left"	"congruent"	"left"	0.433870586280411
"3853"	"1"	"right"	"congruent"	"right"	0.282758699301268
"1093"	"1"	"right"	"incongruent"	"right"	0.865109381688575
"2749"	"1"	"right"	"congruent"	"right"	0.6513712312283
"3457"	"1"	"left"	"congruent"	"right"	0.219542612376149
"5401"	"1"	"left"	"incongruent"	"right"	0.370726774315265
"4873"	"1"	"left"	"incongruent"	"right"	0.561290105818952
"373"	"1"	"right"	"incongruent"	"right"	0.380964746878161
"73"	"1"	"left"	"incongruent"	"left"	0.238097809013496
"2725"	"1"	"right"	"incongruent"	"right"	1.37598627048069
"3289"	"1"	"left"	"incongruent"	"left"	0.245796433878132
"3817"	"1"	"left"	"incongruent"	"left"	0.380222924773281
"3961"	"1"	"left"	"incongruent"	"right"	0.330502180885042
"5089"	"1"	"left"	"congruent"	"left"	0.373139885372796
"541"	"1"	"right"	"congruent"	"left"	0.246245165819851
"1897"	"1"	"left"	"incongruent"	"left"	0.565533230070455
"2977"	"1"	"left"	"congruent"	"left"	0.277073409948996
"2773"	"1"	"right"	"incongruent"	"left"	0.277905849795947
"2833"	"1"	"left"	"congruent"	"right"	0.391319728079906
"2221"	"1"	"right"	"congruent"	"right"	0.229368134089548
"5281"	"1"	"left"	"congruent"	"left"	0.464462220586165
"625"	"1"	"left"	"congruent"	"left"	0.837578838722032
"4345"	"1"	"left"	"incongruent"	"left"	0.75200557718126
"97"	"1"	"left"	"congruent"	"right"	0.740046997126025
"1633"	"1"	"left"	"congruent"	"left"	0.376437857446416
"2533"	"1"	"right"	"incongruent"	"right"	0.471654860335205
"109"	"1"	"right"	"congruent"	"right"	0.347172154128417
"1525"	"1"	"right"	"incongruent"	"right"	0.356707891953579
"1417"	"1"	"left"	"incongruent"	"left"	0.633259000827703
"2245"	"1"	"right"	"incongruent"	"left"	0.600646129006878
"1189"	"1"	"right"	"incongruent"	"left"	0.310908286809654
"2557"	"1"	"right"	"congruent"	"right"	0.731268340807738
"3409"	"1"	"left"	"congruent"	"right"	0.396925592898822
"337"	"1"	"left"	"congruent"	"right"	0.295387556489551
"481"	"1"	"left"	"congruent"	"left"	0.443006153196342
"3373"	"1"	"right"	"congruent"	"right"	0.420557250345333
"1405"	"1"	"right"	"congruent"	"right"	0.31046772023204
"1729"	"1"	"left"	"congruent"	"left"	0.359521219067636
"4153"	"1"	"left"	"incongruent"	"left"	0.373395842965545
"4645"	"1"	"right"	"incongruent"	"right"	0.236603915755184
"1501"	"1"	"right"	"congruent"	"left"	0.703760363378501
"3889"	"1"	"left"	"congruent"	"right"	0.498117887466348
"985"	"1"	"left"	"incongruent"	"left"	0.383963838798002
"4585"	"1"	"left"	"incongruent"	"left"	0.785035521673689
"973"	"1"	"right"	"congruent"	"left"	1.33675299018505
"4537"	"1"	"left"	"incongruent"	"left"	0.943185635378058
"529"	"1"	"left"	"congruent"	"left"	0.35700493296608
